,ID,AddressInfo_Postcode,Connections_0_LevelID,Connections_0_PowerKW,Connections_0_Quantity,geometry,betweenness_centrality,closeness_centrality,degree_centrality
519,158562,90815,2,3.7,4.0,POINT (-13151298.66857318 4000592.145216421),0.0,1.839251284104388e-05,0.0009940357852882703
520,50415,90005,2,3.0,2.0,POINT (-13168075.17262072 4037192.17971604),0.005054435998970137,2.0137911280605257e-05,0.0019880715705765406
521,122093,90008,2,3.7,1.0,POINT (-13172286.92184517 4029673.858986993),0.002377173696572739,1.9291925527147074e-05,0.0014910536779324055
522,110119,90008,2,3.0,1.0,POINT (-13172286.92184517 4029673.858986993),0.002377173696572739,1.9291925527147074e-05,0.0014910536779324055
523,122173,90018,2,3.0,1.0,POINT (-13170329.61494827 4034153.061888727),0.008279060412568092,1.9878307024256843e-05,0.0014910536779324055
524,68330,90018,2,3.0,1.0,POINT (-13170329.61494827 4034153.061888727),0.008279060412568092,1.9878307024256843e-05,0.0014910536779324055
525,70236,90020,2,3.0,2.0,POINT (-13168031.76915126 4037433.035038515),0.005054435998970137,2.0137911280605257e-05,0.0019880715705765406
526,122277,90020,2,3.7,2.0,POINT (-13168031.76915126 4037433.035038515),0.005054435998970137,2.0137911280605257e-05,0.0019880715705765406
527,102508,91732,2,3.0,7.0,POINT (-13138011.57415209 4041375.675729694),0.0052605693208385785,1.8126411087411445e-05,0.0009940357852882703
528,122355,91732,2,3.7,7.0,POINT (-13138011.57415209 4041375.675729694),0.0052605693208385785,1.8126411087411445e-05,0.0009940357852882703
529,102434,90501,2,40.0,1.0,POINT (-13169131.82835928 4009604.277582109),0.009718287342808673,1.874542884786794e-05,0.0012425447316103378
530,122291,91706,2,3.0,2.0,POINT (-13133847.66859897 4037772.745916319),0.008067429378489194,1.5369591009197502e-05,0.0004970178926441351
531,61739,91706,2,3.0,2.0,POINT (-13133847.66859897 4037772.745916319),0.008067429378489194,1.5369591009197502e-05,0.0004970178926441351
532,120946,90806,2,3.0,1.0,POINT (-13155285.15312188 4000726.787301895),0.002026555556049732,1.7689931934394343e-05,0.0014910536779324055
533,139495,90631,2,3.7,4.0,POINT (-13128831.72366332 4017816.99296186),0.009324922945548188,1.90461125852202e-05,0.0009940357852882703
534,158763,90057,2,3.7,1.0,POINT (-13167285.81724345 4038528.958834642),0.0031926264930921557,2.0041653347692845e-05,0.0009940357852882703
535,158768,90026,2,3.7,1.0,POINT (-13166953.69554267 4038901.49734448),0.0031926264930921557,2.0041653347692845e-05,0.0009940357852882703
536,122266,90010,2,3.0,4.0,POINT (-13168483.72628388 4037212.927150982),0.005054435998970137,2.0137911280605257e-05,0.0019880715705765406
537,115480,90010,2,3.0,4.0,POINT (-13168483.72628388 4037212.927150982),0.005054435998970137,2.0137911280605257e-05,0.0019880715705765406
538,121990,90303,2,3.7,32.0,POINT (-13173529.39352358 4021751.648974101),0.001221233375288908,1.901291041603126e-05,0.0009940357852882703
539,102456,90303,2,3.0,32.0,POINT (-13173529.39352358 4021751.648974101),0.001221233375288908,1.901291041603126e-05,0.0009940357852882703
540,121927,90501,3,40.0,1.0,POINT (-13169244.48368396 4009559.102763191),0.009718287342808673,1.874542884786794e-05,0.0012425447316103378
541,158758,90004,2,3.7,1.0,POINT (-13167632.16557516 4038360.637655645),0.0031926264930921557,2.0041653347692845e-05,0.0009940357852882703
542,158591,90248,2,3.7,1.0,POINT (-13170099.9735359 4010665.897251248),0.009650832267147798,1.7802860479545652e-05,0.0007455268389662028
543,139421,90248,2,3.7,1.0,POINT (-13169821.11864627 4010174.809331748),0.009928374075704858,1.819226276364182e-05,0.0007455268389662028
544,158727,90006,2,3.7,1.0,POINT (-13169671.28261166 4035895.432543498),0.029803097892881342,2.002155148004918e-05,0.0019880715705765406
545,120971,90630,2,3.7,1.0,POINT (-13139443.69940115 4003074.812610637),0.008516203302185396,1.8852434856076805e-05,0.0014910536779324055
546,120933,90840,2,3.7,1.0,POINT (-13147908.43348107 4000194.470052646),0.0243333066478089,1.7483817273837017e-05,0.0007455268389662028
547,121129,91706,2,3.0,13.0,POINT (-13135306.1654354 4039734.908960245),0.006726543547563735,1.8144387904753424e-05,0.0007455268389662028
548,139716,90006,2,3.7,1.0,POINT (-13170087.23403118 4035440.2889437),0.02838746788471261,2.0088285788541007e-05,0.0014910536779324055
549,158755,90020,2,3.7,1.0,POINT (-13168316.41308922 4038032.911099936),0.0009151528808753249,1.9846231382275525e-05,0.0009940357852882703
550,158556,90804,2,3.7,4.0,POINT (-13151632.96100403 3999748.324130482),0.0,1.839251284104388e-05,0.0009940357852882703
551,139766,90005,2,3.7,1.0,POINT (-13169144.51068229 4037234.759419328),0.029746391153452147,1.9867267459552533e-05,0.0019880715705765406
552,39860,91745,2,3.0,2.0,POINT (-13128340.4596185 4028608.080153165),0.006815371751593349,1.7530747480988313e-05,0.0007455268389662028
553,122086,91745,2,3.0,2.0,POINT (-13128340.4596185 4028608.080153165),0.006815371751593349,1.7530747480988313e-05,0.0007455268389662028
554,139341,90810,2,3.7,2.0,POINT (-13159697.4903826 4001409.371450898),0.0019723196985128753,1.6629419963468253e-05,0.0007455268389662028
555,72180,90012,2,3.0,20.0,POINT (-13172953.79383253 4030384.492917727),0.00468825130252539,1.9168399142710982e-05,0.0019880715705765406
556,122098,90012,2,3.7,16.0,POINT (-13172953.79383253 4030384.492917727),0.00468825130252539,1.9168399142710982e-05,0.0019880715705765406
557,122088,91745,2,3.0,1.0,POINT (-13128193.64034209 4028718.775586181),0.006815371751593349,1.7530747480988313e-05,0.0007455268389662028
558,139755,90005,2,3.0,3.0,POINT (-13169712.13686479 4036962.724206312),0.029746391153452147,1.9867267459552533e-05,0.0019880715705765406
559,122104,90008,2,3.0,1.0,POINT (-13172989.34927789 4030913.839229192),0.0007705445181261425,1.9061138481821556e-05,0.0009940357852882703
560,70229,90008,2,3.0,1.0,POINT (-13172989.34927789 4030913.839229192),0.0007705445181261425,1.9061138481821556e-05,0.0009940357852882703
561,122422,91105,2,3.0,2.0,POINT (-13152221.26224898 4046428.849570325),0.0012485983922465704,1.8514011417107574e-05,0.0009940357852882703
562,48134,91105,2,3.0,2.0,POINT (-13152221.26224898 4046428.849570325),0.0012485983922465704,1.8514011417107574e-05,0.0009940357852882703
563,139409,92801,2,3.7,2.0,POINT (-13132260.96001547 4008450.707823827),0.0954975466613691,1.9488007118731467e-05,0.0007455268389662028
564,121084,90506,2,3.0,10.0,POINT (-13172561.35923164 4013664.304920659),0.0021695578455688935,1.8596985237626888e-05,0.0019880715705765406
565,122296,91706,2,3.7,20.0,POINT (-13132800.48614908 4038119.589353748),0.008066688113921493,1.5683840689871232e-05,0.0004970178926441351
566,102499,91706,2,3.0,20.0,POINT (-13132800.48614908 4038119.589353748),0.008066688113921493,1.5683840689871232e-05,0.0004970178926441351
567,158697,90018,2,3.7,1.0,POINT (-13172156.12959675 4033195.164297685),0.010110786931406837,1.9123022223899356e-05,0.0007455268389662028
568,120960,90630,2,3.0,6.0,POINT (-13139567.80950144 4002141.334657524),0.01251236058666643,1.8736532358466593e-05,0.0022365805168986083
569,158746,90020,2,3.7,1.0,POINT (-13169701.56151316 4037370.658611204),0.029746391153452147,1.9867267459552533e-05,0.0019880715705765406
570,110160,90039,2,3.0,6.0,POINT (-13164598.34209672 4042294.23097977),0.006756935394839515,1.9366899173635367e-05,0.0007455268389662028
571,122384,90039,2,3.7,6.0,POINT (-13164598.34209672 4042294.23097977),0.006756935394839515,1.9366899173635367e-05,0.0007455268389662028
572,122404,91006,2,3.0,1.0,POINT (-13138542.46793564 4043260.346672985),0.010319267591073001,1.8002727578486678e-05,0.0019880715705765406
573,26994,91006,2,3.0,1.0,POINT (-13138542.46793564 4043260.346672985),0.010319267591073001,1.8002727578486678e-05,0.0019880715705765406
574,122403,90039,2,3.0,3.0,POINT (-13163279.98536726 4043249.967437102),0.009120395696909768,1.95158289179823e-05,0.0007455268389662028
575,41499,90039,2,3.0,3.0,POINT (-13163279.98536726 4043249.967437102),0.009120395696909768,1.95158289179823e-05,0.0007455268389662028
576,4834,91748,2,3.7,2.0,POINT (-13127708.95527918 4028482.58903163),0.016271004349246308,1.8158157098728206e-05,0.0024850894632206756
577,139613,91748,2,3.7,2.0,POINT (-13127490.10116028 4027504.997891678),0.006777258398404009,1.8143544887021627e-05,0.0014910536779324055
578,122232,90019,2,3.7,1.0,POINT (-13170689.38795393 4036156.813084115),0.005968600527088526,1.9773427934114856e-05,0.0009940357852882703
579,110143,90019,2,3.0,1.0,POINT (-13170689.38795393 4036156.813084115),0.005968600527088526,1.9773427934114856e-05,0.0009940357852882703
580,61745,91105,2,3.0,10.0,POINT (-13152575.2804936 4046731.845138511),0.0012485983922465704,1.8514011417107574e-05,0.0009940357852882703
581,122429,91105,2,3.0,10.0,POINT (-13152575.2804936 4046731.845138511),0.0012485983922465704,1.8514011417107574e-05,0.0009940357852882703
582,139575,90301,2,3.0,4.0,POINT (-13174751.90417147 4023747.804898547),0.0026175905046973936,1.875123671804559e-05,0.0009940357852882703
583,122295,90020,2,3.7,1.0,POINT (-13169347.49345741 4038081.605757488),0.027124229517253923,1.9714116645806727e-05,0.0019880715705765406
584,110149,90020,2,3.0,1.0,POINT (-13169347.49345741 4038081.605757488),0.027124229517253923,1.9714116645806727e-05,0.0019880715705765406
585,122434,91105,2,3.0,2.0,POINT (-13152534.30378903 4046853.085973867),0.0012485983922465704,1.8514011417107574e-05,0.0009940357852882703
586,122274,90005,2,3.7,1.0,POINT (-13170118.65814273 4037287.557319832),0.029746391153452147,1.9867267459552533e-05,0.0019880715705765406
587,110145,90005,2,3.0,1.0,POINT (-13170118.65814273 4037287.557319832),0.029746391153452147,1.9867267459552533e-05,0.0019880715705765406
588,39899,90039,2,3.0,1.0,POINT (-13163148.85100711 4043645.783346213),0.009121136961477469,1.9241270106429388e-05,0.0007455268389662028
589,97406,90250,2,16.0,3.0,POINT (-13174740.88354188 4019499.447381536),0.0,0.0,0.00024850894632206757
590,120943,90813,2,3.0,2.0,POINT (-13159642.91043627 4000448.115296492),0.01401268007169511,1.757706689084314e-05,0.0019880715705765406
591,139466,92835,2,3.0,1.0,POINT (-13128348.04047582 4014263.603413146),0.025854319768685925,1.8655175909831715e-05,0.0014910536779324055
592,139576,90301,3,40.0,1.0,POINT (-13175066.38173296 4023755.186786964),0.013235525944506958,1.8779376611459986e-05,0.002982107355864811
593,139862,90065,2,3.7,1.0,POINT (-13161803.15876567 4044520.108256),0.01972054078709449,1.9363456871841832e-05,0.0004970178926441351
594,121007,90502,2,3.7,2.0,POINT (-13168488.62434148 4006204.063639026),0.0,1.76263919616754e-05,0.0007455268389662028
595,139869,90041,2,3.7,2.0,POINT (-13158924.05369252 4045899.534480401),0.007290522339490278,1.8263508051260378e-05,0.0009940357852882703
596,158795,90039,2,3.7,2.0,POINT (-13163810.86801885 4043562.289781531),0.004705979880102928,1.931003795756411e-05,0.0009940357852882703
597,139437,92832,2,3.7,3.0,POINT (-13129221.2305616 4011599.654248477),0.0048998205645569785,1.9402888887772207e-05,0.0014910536779324055
598,139429,90504,2,3.7,1.0,POINT (-13172079.12319752 4010749.525488811),0.02404711675262865,1.8381981022993806e-05,0.0024850894632206756
599,139867,90065,2,3.7,1.0,POINT (-13160639.26440666 4045356.259051446),0.014333338769273498,1.8042760839030136e-05,0.0004970178926441351
600,115486,90041,2,3.0,2.0,POINT (-13159474.63989398 4045837.271647522),0.0,0.0,0.00024850894632206757
601,122420,90041,2,3.0,2.0,POINT (-13159474.63989398 4045837.271647522),0.0,0.0,0.00024850894632206757
602,158805,91105,2,3.7,4.0,POINT (-13152174.19636827 4047381.840242973),0.038859312432637585,1.8572700634574627e-05,0.0009940357852882703
603,158807,91101,2,3.7,2.0,POINT (-13150573.53341015 4047528.709586425),0.0012485983922465704,1.8514011417107574e-05,0.0009940357852882703
604,139788,90004,2,3.7,1.0,POINT (-13170133.09624807 4038247.701652552),0.027124229517253923,1.9714116645806727e-05,0.0019880715705765406
605,139794,91706,2,3.7,1.0,POINT (-13131668.03296924 4038323.453832475),0.0059913944125453596,1.724082377501542e-05,0.0004970178926441351
606,139494,90250,3,120.0,12.0,POINT (-13175009.60879266 4017814.444179657),0.003345882942464527,1.8353774175844788e-05,0.0019880715705765406
607,121021,92801,3,40.0,1.0,POINT (-13131511.62908467 4007567.298318165),0.09074678204696753,1.915803831211417e-05,0.0009940357852882703
608,158574,90501,2,3.7,1.0,POINT (-13169107.14146851 4006190.4156586),0.00036494925549857704,1.8075848329796126e-05,0.0009940357852882703
609,158582,90501,2,3.7,2.0,POINT (-13170567.18187357 4007824.497729467),0.008229457458579371,1.8230296433752128e-05,0.0009940357852882703
610,120903,90803,2,3.0,4.0,POINT (-13148507.77264739 3998193.507342626),0.0,0.0,0.0007455268389662028
611,26893,91744,2,3.0,4.0,POINT (-13127586.05856134 4031579.988854225),0.008352754465007124,1.7492177206565503e-05,0.0009940357852882703
612,81929,91744,2,10.0,4.0,POINT (-13127547.54201753 4031559.036781205),0.008352754465007124,1.7492177206565503e-05,0.0009940357852882703
613,121059,90504,2,3.0,2.0,POINT (-13173045.59901659 4011580.213601277),0.00018784879586512742,1.8167215303804737e-05,0.0009940357852882703
614,139882,91105,3,40.0,1.0,POINT (-13152230.6949234 4047801.78267666),0.038859312432637585,1.8572700634574627e-05,0.0009940357852882703
615,121052,92832,2,3.7,2.0,POINT (-13128810.23900159 4011322.66166114),0.0048998205645569785,1.9402888887772207e-05,0.0014910536779324055
616,120958,90744,2,3.7,2.0,POINT (-13164417.78188266 4001908.228220139),0.004930274183880066,1.7998932745340085e-05,0.0009940357852882703
617,122323,90007,2,3.0,1.0,POINT (-13170105.91863801 4038936.71790728),0.027124229517253923,1.9714116645806727e-05,0.0019880715705765406
618,110152,90007,2,3.0,1.0,POINT (-13170105.91863801 4038936.71790728),0.027124229517253923,1.9714116645806727e-05,0.0019880715705765406
619,2443,91101,2,3.7,4.0,POINT (-13151346.20199575 4048016.001232448),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
620,139397,92801,3,40.0,1.0,POINT (-13131090.06217304 4007388.106519525),0.09074678204696753,1.915803831211417e-05,0.0009940357852882703
621,135412,90304,2,7.7,2.0,POINT (-13176016.73808502 4021512.204751168),0.005883787506133965,1.849105525843563e-05,0.0009940357852882703
622,66220,90740,2,7.6,1.0,POINT (-13143749.74881207 3998764.279455562),0.032116028660253246,1.820531032468078e-05,0.0014910536779324055
623,139314,90844,2,3.7,3.0,POINT (-13157080.25783456 3998509.225100395),0.0016715516001678224,1.6754074836187786e-05,0.0014910536779324055
624,81798,90029,2,8.0,3.0,POINT (-13168120.82474389 4041310.749195001),0.0006190794581257175,1.965124632561469e-05,0.0014910536779324055
625,27011,91101,2,3.7,5.0,POINT (-13151521.64151324 4048184.264945457),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
626,31127,91101,2,3.0,2.0,POINT (-13150391.18095228 4048192.146903891),0.0007241537105974643,1.5909597064156538e-05,0.0009940357852882703
627,122462,91101,2,3.0,2.0,POINT (-13150391.18095228 4048192.146903891),0.0007241537105974643,1.5909597064156538e-05,0.0009940357852882703
628,110139,90064,2,3.0,1.0,POINT (-13172917.9519786 4035332.147941517),0.0022677754007893974,1.8989551755775218e-05,0.0009940357852882703
629,122203,90064,2,3.7,1.0,POINT (-13172917.9519786 4035332.147941517),0.0022677754007893974,1.8989551755775218e-05,0.0009940357852882703
630,122458,91105,2,3.0,1.0,POINT (-13153786.54787292 4048068.860787553),0.01563110771117763,1.823105125303064e-05,0.0014910536779324055
631,27013,91101,2,3.0,3.0,POINT (-13152005.7699787 4048222.464248903),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
632,122463,91101,2,3.7,5.0,POINT (-13152005.7699787 4048222.464248903),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
633,2442,91105,2,3.7,3.0,POINT (-13152399.50701763 4048222.195239272),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
634,122464,91101,2,3.0,2.0,POINT (-13150516.28179604 4048283.435445414),0.0007241537105974643,1.5909597064156538e-05,0.0009940357852882703
635,146061,91105,3,120.0,24.0,POINT (-13152032.04137853 4048280.839488841),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
636,122466,91101,2,3.0,2.0,POINT (-13150523.28379201 4048314.250705805),0.0007241537105974643,1.5909597064156538e-05,0.0009940357852882703
637,27014,91101,2,3.0,2.0,POINT (-13151104.30474226 4048320.249670623),0.011003578331156488,1.8351854156989226e-05,0.0014910536779324055
